Method,ARI,NMI
细胞类型比例 + Spectral,0.17756688044819405,0.19458766624284796
GINEConv 嵌入 + KMeans,0.14502010020719366,0.1825568004035857
拼接特征(PCA) + Leiden(自调分辨率),0.1441684428835571,0.18123150432254742
细胞类型比例 + KMeans,0.14413099193421072,0.19449593556455108
拼接特征(PCA) + KMeans(valid-fit),0.14195600130216632,0.17578269824236586
拼接特征 + KMeans,0.13660198497454984,0.16960074257943386
拼接特征 + Spectral,0.1042046763965744,0.15304393452859869
GINEConv 嵌入 + Spectral,0.10131028297518885,0.15812526912348868
