total_loss,recon_loss,contrast_loss,smooth_loss,global_contrast,gate_spatial_mean,gate_expr_mean,spatial_weight,expr_weight,px_r_mean,px_r_std,epoch,lr,time
2984.094482421875,2910.4326171875,73.66177368164062,3.8217592239379883,3.5444178581237793,0.5018542408943176,0.4989389479160309,0.5018542408943176,0.4989389479160309,54.54374694824219,0.00013406368088908494,1,0.0009999728588359286,2.4694507122039795
2930.8740234375,2871.3466796875,59.5274543762207,2.3974475860595703,3.5552978515625,0.4987668991088867,0.49749594926834106,0.4987668991088867,0.49749594926834106,54.49002456665039,0.0007029534899629653,2,0.0009998914383200486,1.8892388343811035
2897.20458984375,2841.086181640625,56.1183967590332,2.016526222229004,3.595313549041748,0.4985605478286743,0.493936687707901,0.4985605478286743,0.493936687707901,54.436458587646484,0.0009717080392874777,3,0.0009997557473810372,2.1661882400512695
2856.12109375,2801.609619140625,54.511558532714844,1.8891607522964478,3.561995029449463,0.4979601502418518,0.49062687158584595,0.4979601502418518,0.49062687158584595,54.38408279418945,0.00140926125459373,4,0.000999565800898935,1.8795928955078125
2807.299560546875,2752.823974609375,54.475486755371094,1.8699880838394165,3.5775609016418457,0.4971582293510437,0.48776790499687195,0.4971582293510437,0.48776790499687195,54.33345413208008,0.0025998528581112623,5,0.0009993216197035143,1.8646891117095947
2751.49609375,2696.15625,55.33975601196289,1.947637677192688,3.5863380432128906,0.4960215389728546,0.48520150780677795,0.4960215389728546,0.48520150780677795,54.28485870361328,0.004551747348159552,6,0.0009990232305719946,1.8705973625183105
2687.318359375,2631.388916015625,55.929542541503906,1.9934102296829224,3.599544048309326,0.4945199191570282,0.48290595412254333,0.4945199191570282,0.48290595412254333,54.23847961425781,0.007151682395488024,7,0.0009986706662261067,1.890157699584961
2615.63720703125,2558.995361328125,56.641902923583984,2.0628416538238525,3.601348876953125,0.4927833378314972,0.48082244396209717,0.4927833378314972,0.48082244396209717,54.194374084472656,0.01031250786036253,8,0.0009982639653285047,1.8899903297424316
2536.102294921875,2478.841064453125,57.261192321777344,2.139897584915161,3.586221218109131,0.49101006984710693,0.4788169264793396,0.49101006984710693,0.4788169264793396,54.152530670166016,0.013970826752483845,9,0.0009978031724785245,1.862488031387329
2453.384521484375,2394.613037109375,58.77138137817383,2.2718923091888428,3.605245590209961,0.48915621638298035,0.47693580389022827,0.48915621638298035,0.47693580389022827,54.112892150878906,0.018063358962535858,10,0.0009972883382072953,1.8865609169006348
2364.550537109375,2305.335205078125,59.21525573730469,2.3215038776397705,3.6000216007232666,0.48732414841651917,0.4752436578273773,0.48732414841651917,0.4752436578273773,54.075355529785156,0.022534718737006187,11,0.0009967195189721962,1.896646499633789
2273.685302734375,2213.601318359375,60.084022521972656,2.4186878204345703,3.589714527130127,0.48552024364471436,0.4736543297767639,0.48552024364471436,0.4736543297767639,54.039825439453125,0.027335774153470993,12,0.0009960967771506667,1.8961353302001953
2180.341552734375,2119.814697265625,60.52677917480469,2.4630396366119385,3.5896382331848145,0.4837680160999298,0.4722265601158142,0.4837680160999298,0.4722265601158142,54.00617599487305,0.032427430152893066,13,0.0009954201810333646,1.8934345245361328
2088.42236328125,2027.848876953125,60.573585510253906,2.460491418838501,3.596867561340332,0.48211148381233215,0.4708770513534546,0.48211148381233215,0.4708770513534546,53.974266052246094,0.03777920454740524,14,0.0009946898048166792,1.8890101909637451
2002.1795654296875,1940.368896484375,61.810691833496094,2.578484296798706,3.6025853157043457,0.4805518686771393,0.46960118412971497,0.4805518686771393,0.46960118412971497,53.943931579589844,0.04337276518344879,15,0.000993905728594593,1.8854711055755615
1918.0496826171875,1856.332275390625,61.717411041259766,2.5758299827575684,3.5959110260009766,0.479073703289032,0.4684450626373291,0.479073703289032,0.4684450626373291,53.91500473022461,0.049210842698812485,16,0.0009930680383498998,1.876112937927246
1842.7744140625,1780.1318359375,62.64251708984375,2.669203996658325,3.595047950744629,0.4776403307914734,0.46736061573028564,0.4776403307914734,0.46736061573028564,53.887290954589844,0.055329110473394394,17,0.0009921768259447744,1.889664888381958
1775.9864501953125,1712.9830322265625,63.00340270996094,2.7188973426818848,3.5814428329467773,0.4763336181640625,0.4663831293582916,0.4763336181640625,0.4663831293582916,53.860595703125,0.06179248169064522,18,0.0009912321891107007,1.8859498500823975
1718.936767578125,1655.5643310546875,63.37242126464844,2.740048408508301,3.597193479537964,0.4750990867614746,0.46550601720809937,0.4750990867614746,0.46550601720809937,53.834774017333984,0.06867595762014389,19,0.0009902342314377522,1.8713264465332031
1673.0596923828125,1608.8382568359375,64.2214126586914,2.8227791786193848,3.5993618965148926,0.47395581007003784,0.4646857678890228,0.47395581007003784,0.4646857678890228,53.80978775024414,0.07602687925100327,20,0.0009891830623632338,1.8853235244750977
1634.135498046875,1570.14404296875,63.99150848388672,2.8026669025421143,3.5964839458465576,0.47294363379478455,0.4639430344104767,0.47294363379478455,0.4639430344104767,53.7856559753418,0.08385375142097473,21,0.00098807879715968,1.8790016174316406
1600.9835205078125,1537.33642578125,63.647117614746094,2.7795307636260986,3.5851807594299316,0.47206422686576843,0.4632442891597748,0.47206422686576843,0.4632442891597748,53.762393951416016,0.0921333059668541,22,0.0009869215569222143,1.8658771514892578
1572.8671875,1508.531494140625,64.33563995361328,2.839301824569702,3.5942623615264893,0.47132426500320435,0.46259352564811707,0.47132426500320435,0.46259352564811707,53.7399787902832,0.10084373503923416,23,0.0009857114685552697,1.8892836570739746
1547.18115234375,1482.7431640625,64.43801879882812,2.8534975051879883,3.590304374694824,0.47069817781448364,0.4619639217853546,0.47069817781448364,0.4619639217853546,53.71836471557617,0.10996434837579727,24,0.0009844486647586721,1.8805739879608154
1522.28076171875,1458.7174072265625,63.5633544921875,2.762906074523926,3.5934295654296875,0.47013047337532043,0.4612944722175598,0.47013047337532043,0.4612944722175598,53.69745635986328,0.11950083076953888,25,0.0009831332840130884,1.8835210800170898
1499.32275390625,1436.2767333984375,63.04603576660156,2.7034006118774414,3.601202964782715,0.46955734491348267,0.4605081379413605,0.46955734491348267,0.4605081379413605,53.67711639404297,0.12950193881988525,26,0.0009817654705648405,1.8574931621551514
1478.5445556640625,1415.86181640625,62.682682037353516,2.6719744205474854,3.5962936878204346,0.4689386188983917,0.4595993757247925,0.4689386188983917,0.4595993757247925,53.65713119506836,0.14008945226669312,27,0.0009803453744100864,1.8896803855895996
1461.0252685546875,1399.371337890625,61.65388107299805,2.561952829360962,3.6034350395202637,0.468172162771225,0.4584921896457672,0.468172162771225,0.4584921896457672,53.637176513671875,0.15150345861911774,28,0.0009788731512783728,1.8546762466430664
1447.753173828125,1386.8250732421875,60.928070068359375,2.494778633117676,3.5980281829833984,0.46722355484962463,0.4571892023086548,0.46722355484962463,0.4571892023086548,53.61673355102539,0.1641344130039215,29,0.0009773489626155566,1.8765161037445068
1440.0047607421875,1380.6583251953125,59.346431732177734,2.3397035598754883,3.594939708709717,0.4661555290222168,0.45575782656669617,0.4661555290222168,0.45575782656669617,53.595638275146484,0.17809130251407623,30,0.0009757729755661006,1.8788049221038818
1436.4000244140625,1377.977783203125,58.42228698730469,2.2456161975860596,3.5966129302978516,0.46525946259498596,0.45466408133506775,0.46525946259498596,0.45466408133506775,53.57426834106445,0.19305118918418884,31,0.0009741453629547445,2.2016260623931885
1432.434814453125,1374.8017578125,57.63303756713867,2.163231134414673,3.6000723838806152,0.4647298753261566,0.45416805148124695,0.4647298753261566,0.45416805148124695,53.55271911621094,0.20885957777500153,32,0.0009724663032675527,1.8838202953338623
1426.66845703125,1369.535888671875,57.13250732421875,2.1382944583892822,3.574956178665161,0.4645689129829407,0.4541807472705841,0.4645689129829407,0.4541807472705841,53.53076934814453,0.22559253871440887,33,0.0009707359806323412,1.8806688785552979
1421.203369140625,1364.356201171875,56.84718704223633,2.0837814807891846,3.6009371280670166,0.4646749794483185,0.45451802015304565,0.4646749794483185,0.45451802015304565,53.507896423339844,0.24350576102733612,34,0.0009689545847984858,1.8605358600616455
1417.529296875,1360.16015625,57.369171142578125,2.13517427444458,3.601742744445801,0.46483075618743896,0.45492851734161377,0.46483075618743896,0.45492851734161377,53.484039306640625,0.2625364661216736,35,0.0009671223111161144,1.8850467205047607
1413.9400634765625,1357.6800537109375,56.259979248046875,2.0343055725097656,3.5916924476623535,0.46480706334114075,0.4550188481807709,0.46480706334114075,0.4550188481807709,53.45984649658203,0.282249391078949,36,0.000965239360514684,1.8830571174621582
1412.21826171875,1355.9886474609375,56.229652404785156,2.0208852291107178,3.6020801067352295,0.4645160436630249,0.45467108488082886,0.4645160436630249,0.45467108488082886,53.43549346923828,0.3024865686893463,37,0.000963305939480947,1.8789522647857666
1410.3231201171875,1354.322998046875,56.00013732910156,2.006126642227173,3.5938873291015625,0.4639591574668884,0.4539552628993988,0.4639591574668884,0.4539552628993988,53.4107780456543,0.32331928610801697,38,0.0009613222600363074,1.8713436126708984
1407.52880859375,1352.9674072265625,54.56145477294922,1.8688466548919678,3.5872983932495117,0.4631190598011017,0.45288556814193726,0.4631190598011017,0.45288556814193726,53.38531494140625,0.34492284059524536,39,0.0009592885397135703,1.8638174533843994
1406.52392578125,1352.6654052734375,53.858497619628906,1.7899272441864014,3.5959224700927734,0.46212056279182434,0.4516198933124542,0.46212056279182434,0.4516198933124542,53.35918426513672,0.367165744304657,40,0.0009572050015330871,1.8548333644866943
