total_loss,recon_loss,contrast_loss,local_contrast,global_contrast,gate_spatial_mean,gate_expr_mean,spatial_weight,expr_weight,px_r_mean,px_r_std,epoch,lr,time
2967.116455078125,2901.030029296875,66.08643341064453,0.5178359150886536,2.2686498165130615,0.49616923928260803,0.4972231090068817,0.49616923928260803,0.4972231090068817,54.57091522216797,4.948344576405361e-05,1,0.0004999864294179643,2.8830907344818115
2942.314208984375,2876.882080078125,65.43218994140625,0.5157325267791748,2.2401444911956787,0.4950936734676361,0.4981576204299927,0.4950936734676361,0.4981576204299927,54.54375457763672,0.0001489246787969023,2,0.0004999457191600243,2.0838406085968018
2918.193115234375,2853.660400390625,64.53278350830078,0.5088223218917847,2.2089946269989014,0.49383386969566345,0.49887531995773315,0.49383386969566345,0.49887531995773315,54.516807556152344,0.0004411399713717401,3,0.0004998778736905186,2.07532000541687
2893.207763671875,2829.38916015625,63.81861877441406,0.5021534562110901,2.186624050140381,0.492310494184494,0.49935129284858704,0.492310494184494,0.49935129284858704,54.49027633666992,0.0009912021923810244,4,0.0004997829004494675,2.0740299224853516
2867.4140625,2803.38671875,64.02729797363281,0.4995999336242676,2.202164888381958,0.4906174838542938,0.4996459484100342,0.4906174838542938,0.4996459484100342,54.46430969238281,0.0018088750075548887,5,0.0004996608098517571,2.0910167694091797
2839.226806640625,2775.612060546875,63.614749908447266,0.49797362089157104,2.1847901344299316,0.4888342022895813,0.49975547194480896,0.4888342022895813,0.49975547194480896,54.43899154663086,0.002889861585572362,6,0.0004995116152859973,2.0812318325042725
2809.5791015625,2746.8828125,62.696380615234375,0.49705344438552856,2.140712261199951,0.48730772733688354,0.4998490810394287,0.48730772733688354,0.4998490810394287,54.41437530517578,0.00421554921194911,7,0.0004993353331130534,2.070674419403076
2778.598876953125,2716.23095703125,62.36792755126953,0.4974767863750458,2.1234426498413086,0.48582956194877625,0.49963223934173584,0.48582956194877625,0.49963223934173584,54.390480041503906,0.005765716079622507,8,0.0004991319826642524,2.0908114910125732
2744.1787109375,2683.03125,61.14736557006836,0.4967651963233948,2.063838005065918,0.4845554828643799,0.4992814362049103,0.4845554828643799,0.4992814362049103,54.367332458496094,0.007526204455643892,9,0.0004989015862392623,2.084073066711426
2709.77685546875,2648.83935546875,60.93756866455078,0.49788299202919006,2.051112413406372,0.48337090015411377,0.4988454282283783,0.48337090015411377,0.4988454282283783,54.344940185546875,0.009476343169808388,10,0.0004986441691036477,2.0880510807037354
2671.822021484375,2611.739990234375,60.08201599121094,0.49755698442459106,2.008986711502075,0.4824323058128357,0.4983925223350525,0.4824323058128357,0.4983925223350525,54.32331085205078,0.011601983569562435,11,0.0004983597594860981,2.075739860534668
2634.255126953125,2574.05615234375,60.198997497558594,0.49933719635009766,2.01127552986145,0.48150351643562317,0.4979335069656372,0.48150351643562317,0.4979335069656372,54.302452087402344,0.01388760469853878,12,0.0004980483885753333,2.070962905883789
2592.1650390625,2533.62744140625,58.537628173828125,0.5000974535942078,1.9266865253448486,0.4808095693588257,0.4974476397037506,0.4808095693588257,0.4974476397037506,54.28235626220703,0.016318343579769135,13,0.0004977100905166823,2.06997013092041
2549.36669921875,2492.0693359375,57.29745864868164,0.5016648769378662,1.8615432977676392,0.48021993041038513,0.49701350927352905,0.48021993041038513,0.49701350927352905,54.26302719116211,0.018879858776926994,14,0.0004973449024083396,2.0705342292785645
2503.94970703125,2447.3193359375,56.63047790527344,0.5026073455810547,1.8263092041015625,0.47969233989715576,0.4964940547943115,0.47969233989715576,0.4964940547943115,54.24446105957031,0.02155926637351513,15,0.0004969528642972965,2.073863983154297
2458.973876953125,2403.4384765625,55.535301208496094,0.5032262802124023,1.7703125476837158,0.47923099994659424,0.49597468972206116,0.47923099994659424,0.49597468972206116,54.22663116455078,0.024342618882656097,16,0.0004965340191749499,2.071525812149048
2410.020263671875,2355.6015625,54.418678283691406,0.5041846036911011,1.7125645875930786,0.4787665605545044,0.49547529220581055,0.4787665605545044,0.49547529220581055,54.20952606201172,0.02721625193953514,17,0.0004960884129723872,2.070448875427246
2361.648193359375,2307.1552734375,54.492950439453125,0.5043884515762329,1.71587073802948,0.47839462757110596,0.494998961687088,0.47839462757110596,0.494998961687088,54.1931266784668,0.0301689300686121,18,0.0004956160945553504,2.3940510749816895
2310.89453125,2257.333984375,53.560516357421875,0.5044533610343933,1.6691190004348755,0.47802838683128357,0.49454963207244873,0.47802838683128357,0.49454963207244873,54.17741012573242,0.03318898752331734,19,0.0004951171157188761,2.1041698455810547
2261.441650390625,2208.607177734375,52.834590911865234,0.5050963163375854,1.6315369606018066,0.4777187407016754,0.49410152435302734,0.4777187407016754,0.49410152435302734,54.162357330322266,0.036264605820178986,20,0.0004945915311816169,2.0672872066497803
2209.27099609375,2156.475830078125,52.79511260986328,0.5042760372161865,1.6312036514282227,0.4773429036140442,0.4936956465244293,0.4773429036140442,0.4936956465244293,54.14794158935547,0.03938545659184456,21,0.00049403939857984,2.0655174255371094
2156.660888671875,2105.180908203125,51.479957580566406,0.5018298029899597,1.570338249206543,0.47690534591674805,0.49323928356170654,0.47690534591674805,0.49323928356170654,54.13412857055664,0.042543403804302216,22,0.0004934607784611071,2.0879034996032715
2106.01220703125,2053.9970703125,52.015018463134766,0.5020361542701721,1.5966787338256836,0.4764704704284668,0.4928523004055023,0.4764704704284668,0.4928523004055023,54.12089538574219,0.045730866491794586,23,0.0004928557342776348,2.0722174644470215
2055.564208984375,2004.7093505859375,50.854949951171875,0.5006089806556702,1.541529655456543,0.47595924139022827,0.49241381883621216,0.47595924139022827,0.49241381883621216,54.10820388793945,0.04893997311592102,24,0.0004922243323793361,2.076199531555176
2004.8809814453125,1953.5499267578125,51.33110046386719,0.49973946809768677,1.5670759677886963,0.47537681460380554,0.4919770658016205,0.47537681460380554,0.4919770658016205,54.096031188964844,0.0521678663790226,25,0.0004915666420065442,2.064643144607544
1955.4290771484375,1904.7906494140625,50.63847351074219,0.5002520680427551,1.5314197540283203,0.4747622311115265,0.4915373921394348,0.4747622311115265,0.4915373921394348,54.0843391418457,0.05541050434112549,26,0.0004908827352824202,2.0644352436065674
1908.1396484375,1857.3492431640625,50.790401458740234,0.5000429153442383,1.5394341945648193,0.47412654757499695,0.49111461639404297,0.47412654757499695,0.49111461639404297,54.07308578491211,0.05866740271449089,27,0.0004901726872050432,2.083397150039673
1861.7774658203125,1811.3392333984375,50.43825149536133,0.5008169412612915,1.5202786922454834,0.47345399856567383,0.49062326550483704,0.47345399856567383,0.49062326550483704,54.062252044677734,0.06193944439291954,28,0.0004894365756391864,2.0686533451080322
1816.592041015625,1766.66259765625,49.92938232421875,0.4993795156478882,1.497710108757019,0.47271260619163513,0.4901842772960663,0.47271260619163513,0.4901842772960663,54.051788330078125,0.06523274630308151,29,0.0004886744813077783,2.075392246246338
1775.8114013671875,1725.6849365234375,50.12648010253906,0.49985942244529724,1.5066051483154297,0.4720335304737091,0.4897156059741974,0.4720335304737091,0.4897156059741974,54.04165267944336,0.06855469942092896,30,0.0004878864877830503,2.079301357269287
1734.8505859375,1684.7095947265625,50.140960693359375,0.5000481605529785,1.5069518089294434,0.471248060464859,0.4892852008342743,0.471248060464859,0.4892852008342743,54.03181457519531,0.07191801816225052,31,0.00048707268147737227,2.0771665573120117
1697.418212890625,1647.4422607421875,49.97599792480469,0.5007133483886719,1.4973729848861694,0.4705064296722412,0.48887985944747925,0.4705064296722412,0.48887985944747925,54.02220916748047,0.07533804327249527,32,0.00048623315163377637,2.0649030208587646
